seed,round,policy,material_id,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,absolute_error_ev,target_hit,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,selection_reason,signal_level,signal_types,signal_rule_version,manual_review_required,budget_used,budget_total
1005,3,iterative,mp-2815,1.401249,0.060019,1.4648999999999996,0.063651,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,3,3
1006,1,random,mp-1018809,1.465187,0.077918,1.3361,0.129087,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,1,3
1006,2,random,mp-2815,1.404102,0.070261,1.4648999999999996,0.060798,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,2,3
1006,3,random,mp-1023939,1.799285,0.895537,1.5539,0.245385,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,3,3
1006,1,static_topn,mp-1025874,1.55758,0.073773,1.5093,0.04828,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1006,2,static_topn,mp-1023939,1.565618,0.059286,1.5539,0.011718,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1006,3,static_topn,mp-2815,1.468886,0.076649,1.4648999999999996,0.003986,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,highest target score from frozen initial model,D0,technical_event_only,0.2.0,False,3,3
1006,1,iterative,mp-1025874,1.55758,0.073773,1.5093,0.04828,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1006,2,iterative,mp-1018809,1.46238,0.067246,1.3361,0.12628,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,2,3
1006,3,iterative,mp-2815,1.403254,0.051146,1.4648999999999996,0.061646,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,3,3
